S.No,Pathogen Name
1,Acanthamoeba sp.
2,Acinetobacter baumannii
3,Adenovirus
4,Astrovirus
5,Bacillus anthracis
6,Balamuthia mandrillaris
7,BK virus
8,Bordetella parapertussis
9,Bordetella pertussis
10,Campylobacter Spp
11,Chandipura virus
12,Chikungunya virus
13,Corynebacterium diphtheria
14,Coxsackie virus
15,Crimean-Congo haemorrhagic fever (CCHF)
16,Cytomegalovirus (CMV)
17,Dengue virus
18,Dengue virus - 1
19,Dengue virus - 2
20,Dengue virus - 3
21,Dengue virus - 4
22,Ebola virus
23,Enterovirus
24,Epstein-Barr virus
25,Hantavirus
26,Hepatitis A virus
27,Hepatitis B virus
28,Hepatitis C virus
29,Hepatitis D virus
30,Hepatitis E virus
31,Herpes simplex virus (HSV)
32,Herpes simplex virus-1 (HSV-1)
33,Herpes simplex virus-2 (HSV-2)
34,Human bocavirus
35,Human Coronavirus 229E (HCoV-229E)
36,Human Coronavirus HKU1 (HCoV-HKU1)
37,Human Coronavirus NL63 (HCoV-NL63)
38,Human Coronavirus OC43 (HCoV-OC43)
39,Human Herpesvirus 6 (HHV-6)
40,Human Herpesvirus 7 (HHV-7)
41,Human Herpesvirus 8 (HHV-8)
42,Human metapneumovirus
43,Human papillomavirus (HPV)
44,Human parechovirus
45,Human Parvovirus
46,Influenza A (H1N1)
47,Influenza A (H3N2)
48,Influenza A (H5N1)
49,Influenza A not subtyped
50,Influenza B (Victoria)
51,Influenza B (Yamagata)
52,Influenza B not subtyped
53,Influenza Unsubtypable
54,Japanese encephalitis
55,Klebsiella pneumoniae
56,Kyasanur forest disease
57,Lassa virus
58,Leptospira
59,Listeria monocytogenes
60,Malaria falciparum
61,Malaria mixed
62,Malaria vivax
63,Marburg virus
64,Measles virus
65,Mpox virus
66,Mumps virus
67,Mycoplasma pneumoniae
68,Naegleria fowleri
69,Neisseria meningitidis
70,Nipah virus
71,Norovirus
72,Parainfluenza virus
73,Parainfluenza virus - 1
74,Parainfluenza virus - 2
75,Parainfluenza virus - 3
76,Parainfluenza virus - 4
77,Rabies virus
78,Reovirus
79,Respiratory Syncytial Virus (RSV)
80,Respiratory Syncytial Virus-A (RSV-A)
81,Respiratory Syncytial Virus-B (RSV-B)
82,Rhinovirus
83,Rickettsia Spp
84,Rotavirus
85,Rubella virus
86,Salmonella paratyphi A
87,Salmonella paratyphi B
88,Salmonella paratyphi C
89,Salmonella typhi
90,Sapovirus
91,Sappinia sp.
92,SARS-Cov-2
93,Scrub typhus (Orientia tsutsugamushi)
94,Shigella
95,Streptococcus pyogenes
96,Toxoplasmosis
97,Varicella zoster virus (VZV)
98,Vibrio cholerae O1
99,West Nile virus (WNV)
100,Zika virus
